sentence	pronoun_idx	pronoun	coref	candidates
Technician Stepanic crafted advanced opticals for Leforge since he needed to be able to see well for his duties.	64	he	Technician Stepanic	Technician Stepanic,Leforge
Technician Stepanic crafted advanced opticals for Leforge, but he would still prefer to see without such devices.	63	he	Leforge	Technician Stepanic,Leforge
LA Galaxy is constantly seeking famous players to fill their ranks, because they are trying to obtain high profile players to incite popularity into the team.	76	they	LA Galaxy	LA Galaxy,famous players
LA Galaxy is constantly seeking famous players to fill their ranks, but they are constantly sought after by many teams with offers.	72	they	famous players	LA Galaxy,famous players
Youtube has paid out over a million dollars to their channel partners, because they are responsible for bringing millions of viewers to watch their videos.	79	they	their channel partners	Youtube,their channel partners
Youtube has paid out over a million dollars to their channel partners, since they want to reward those who bring more users to their website.	77	they	Youtube	Youtube,their channel partners
Peter managed to win the lottery and loaned money to Rick, because he has enough money to freely loan to his friends.	67	he	Peter	Peter,Rick
Peter managed to win the lottery and loaned money to Rick, but he will pay him back.	63	he	Rick	Peter,Rick
The shipping company harvests lobster for their business, because they receive a high demand for this type of seafood.	66	they	The shipping company	The shipping company,lobster
The shipping company harvests lobster for their business, since they are considered an exquisite meal.	64	they	lobster	The shipping company,lobster
Peter Griffin often pokes fun at Chris, so he always ends up being angry.	43	he	Chris	Peter Griffin,Chris
Peter Griffin often pokes fun at Chris, because he enjoys doing it.	48	he	Peter Griffin	Peter Griffin,Chris
Apple indicated that the Siri program would not be available for previous IPhones because they do not have the capabilities to run such a program.	90	they	previous IPhones	Apple,previous IPhones
Apple indicated that the Siri program would not be available for previous IPhones, but they were proven wrong when hackers were successful.	87	they	Apple	Apple,previous IPhones
Commissioner Gordon has to constantly call upon Batman because he is not able to stop the criminals himself.	63	he	Commissioner Gordon	Commissioner Gordon,Batman
Commissioner Gordon has to constantly call upon Batman since he is an extremely efficient crime fighter.	61	he	Batman	Commissioner Gordon,Batman
Kim Kardashian has already followed in the steps of Demi Moore and getting divorced, because she also could not come to terms with her husband.	93	she	Kim Kardashian	Kim Kardashian,Demi Moore
Kim Kardashian has already followed in the steps of Demi Moore and getting divorced, but she would not want people to experience her same sadness.	89	she	Demi Moore	Kim Kardashian,Demi Moore
Saturday Night Live often has politicians as one of their main centers of attention since they are what viewers want to see joked about.	90	they	politicians	Saturday Night Live,politicians
Saturday Night Live often has politicians as one of their main centers of attention because they want to keep viewers entertained.	92	they	Saturday Night Live	Saturday Night Live,politicians
Modern Warfare has big expectations to live up to due to the successful release of Battlefield 3 since they need to pull fans to their game instead.	103	they	Modern Warfare	Modern Warfare,Battlefield 3
Modern Warfare has big expectations to live up to due to the successful release of Battlefield 3 since they already have a solid grasp on many players that would consider purchasing a new similar game.	103	they	Battlefield 3	Modern Warfare,Battlefield 3
The Crusaders fought many unholy enemies because they viewed their crusade as their divine right.	49	they	The Crusaders	The Crusaders,many unholy enemies
The Crusaders fought many unholy enemies since they were considered unholy by the priests.	47	they	many unholy enemies	The Crusaders,many unholy enemies
Some citizens of the kingdom were put in chains by the royal guard since they have been accused of breaking the law.	73	they	Some citizens of the kingdom	Some citizens of the kingdom,the royal guard
Some citizens of the kingdom were put in chains by the royal guard because they have a duty to uphold the King's rule.	75	they	the royal guard	Some citizens of the kingdom,the royal guard
Knight Commander Roddick was plagued by a vision of his dead son, so he became crazy from being reminded constantly.	69	he	Knight Commander Roddick	Knight Commander Roddick,his dead son
Knight Commander Roddick was plagued by a vision of his dead son because he was killed due to a lack of protection from his father.	73	he	his dead son	Knight Commander Roddick,his dead son
The wolves attacked the travelers in the forest since they were not welcomed near their home.	54	they	The wolves	The wolves,the travelers
The wolves attacked the travelers in the forest, but they managed to escape unscathed.	53	they	the travelers	The wolves,the travelers
Buy More Book Store sends brand new books to customers, but they sometimes end up sending used books instead.	60	they	Buy More Book Store	Buy More Book Store,customers
Buy More Book Store sends brand new books to customers because they like quality in the books they read.	63	they	customers	Buy More Book Store,customers
Master Wong had to come to the defense of his pupil, Lun-Xiu, since he managed to anger numerous thugs.	68	he	Lun-Xiu	Master Wong,Lun-Xiu
Master Wong had to come to the defense of his pupil, Lun-Xiu, but he is not confident he can defeat so many opponents.	66	he	Master Wong	Master Wong,Lun-Xiu
Heath Ledger was considered the greatest Joker of all time by Ebert, because the way he depicted the character gave chills to the audience.	85	he	Heath Ledger	Heath Ledger,Ebert
Heath Ledger was considered the greatest Joker of all time by Ebert, but he cannot make that decision for all critics.	73	he	Ebert	Heath Ledger,Ebert
Merchant Smith purchased the trophy from Knight Louis, but he did not pay very well for it.	59	he	Merchant Smith	Merchant Smith,Knight Louis
Merchant Smith purchased the trophy from Knight Louis because he desperately needed the money.	62	he	Knight Louis	Merchant Smith,Knight Louis
Entertainmart has to win over the consumers with their low prices, or they will most likely go out of business.	70	they	Entertainmart	Entertainmart,the consumers
Entertainmart has to win over the consumers with their low prices because they are the ones that contribute to making a business successful.	74	they	the consumers	Entertainmart,the consumers
Scribes were often hired by nobles in the Medieval period since they had the ability to read and write.	64	they	Scribes	Scribes,nobles
Scribes were often hired by nobles in the Medieval period although they were able to read and write themselves.	67	they	nobles	Scribes,nobles
Walmart has leaked pages of their Black Friday Ad to the users of the internet, because they are trying to increase hype for them to come to their store.	88	they	Walmart	Walmart,the users of the internet
Walmart has leaked pages of their Black Friday Ad to the users of the internet, but they will have many other ads to look at to choose from.	84	they	the users of the internet	Walmart,the users of the internet
Microsoft discontinued plans for the Courier tablet due to the success of the tablets from Apple because they feel the product would not be successful.	105	they	Microsoft	Microsoft,Apple
Microsoft discontinued plans for the Courier tablet due to the success of the tablets from Apple, so they have eliminated another competitor in the tablet market.	101	they	Apple	Microsoft,Apple
Consultants are hired by companies to perform specialized tasks because they are easier to hire than trying to perform a task oneself.	72	they	Consultants	Consultants,companies
Consultants are hired by companies to perform specialized tasks, but they do not always have money in the budget to hire these services.	69	they	companies	Consultants,companies
The father convinced his son that it is possible for him to one day become a knight, but he may never achieve such status coming from a peasant family.	89	he	his son	The father,his son
The father convinced his son that it is possible for him to one day become a knight, because he did not want to crush his dreams.	93	he	The father	The father,his son
Dance Instructor Kate offers advice to Shelly because she wants her to become a professional dancer one day.	54	she	Dance Instructor Kate	Dance Instructor Kate,Shelly
Dance Instructor Kate offers advice to Shelly because she is eager to soak up as much experience as possible.	54	she	Shelly	Dance Instructor Kate,Shelly
Sir Rodrick was made specialized fitted armor by Jack, because he needed armor that could withstand the power of a lance.	63	he	Sir Rodrick	Sir Rodrick,Jack
Sir Rodrick was made specialized fitted armor by Jack, but he charged top coin for such a piece.	59	he	Jack	Sir Rodrick,Jack
Subways has always been considered a healthy choice by athletes since they offer such healthy ingredients in their sandwiches.	70	they	Subways	Subways,athletes
Subways has always been considered a healthy choice by athletes, so they often visit this restaurant as regulars.	68	they	athletes	Subways,athletes
Chevrolet had to recently recall their cars because they received complaints about the brakes in their product.	52	they	Chevrolet	Chevrolet,their cars
Chevrolet had to recently recall their cars so they could receive a repair in their brakes.	47	they	their cars	Chevrolet,their cars
Positive SSL sells wildcard certificates to Web hosting companies because they require encrypted sites for interaction with customers.	74	they	Positive SSL	Positive SSL,Web hosting companies
Positive SSL sells wildcard certificates to Web hosting companies, but they have multiple options to purchase certificates from.	71	they	Web hosting companies	Positive SSL,Web hosting companies
New Orleans is renown for their unique style of crawfish, because they are flavored and cooked to be delicious.	66	they	crawfish	New Orleans,crawfish
New Orleans is renown for their unique style of crawfish so they have many restaurants which sell it.	60	they	New Orleans	New Orleans,crawfish
Microsoft Azure provides cloud servers for consumers because they are providing the infrastructure for a future in cloud computing.	61	they	Microsoft Azure	Microsoft Azure,consumers
Microsoft Azure provides cloud servers for consumers, but they are still hesitant to switch to cloud computing.	58	they	consumers	Microsoft Azure,consumers
Herald Simmons has tremendous skill in rousing up the audience for Knight Keller because he has such excellent speaking qualities.	89	he	Herald Simmons	Herald Simmons,Knight Keller
Herald Simmons has tremendous skill in rousing up the audience for Knight Keller, so he recruited him solely to get the audience riled up for him.	85	he	Knight Keller	Herald Simmons,Knight Keller
DVD Players are slowly being replaced by Blu Ray Systems since they are becoming the new medium of entertainment.	63	they	Blu Ray Systems	DVD Players,Blu Ray Systems
DVD Players are slowly being replaced by Blu Ray Systems, but they will still exist for years to come.	62	they	DVD Players	DVD Players,Blu Ray Systems
Soldiers of the armed forces were slowly being phased out by genetically engineered soldiers since they were physically inferior to their new counterparts.	99	they	Soldiers of the armed forces	Soldiers of the armed forces,genetically engineered soldiers
Soldiers of the armed forces were slowly being phased out by genetically engineered soldiers because they were created solely for the purpose of excelled warfare.	101	they	genetically engineered soldiers	Soldiers of the armed forces,genetically engineered soldiers
Todd was offered a recruitment letter from the Dean of Admissions himself because he had an athletic ability that was highly regarded by the university.	82	he	Todd	Todd,the Dean of Admissions
Todd was offered a recruitment letter from the Dean of Admissions himself since he wanted to recruit such talent into their athletics department.	80	he	the Dean of Admissions	Todd,the Dean of Admissions
The officers chose a planet to send the new soldiers so they could receive experience in hostile environments.	56	they	the new soldiers	The officers,the new soldiers
The officers chose a planet to send the new soldiers, because they wanted them to be trained in hostile environments.	62	they	The officers	The officers,the new soldiers
The dumpsters arrived each day to retrieve the garbage of the population because they produced a lot of garbage every day.	81	they	the population	The dumpsters,the population
The dumpsters arrived each day to retrieve the garbage of the population, but they can be called to arrive if requested.	78	they	The dumpsters	The dumpsters,the population
Mike cut his finger while watching Chef Michaels on TV because he was not paying attention to his task at hand.	63	he	Mike	Mike,Chef Michaels
Mike cut his finger while watching Chef Michaels on TV, but he can sometimes be a distraction from fellow cooks watching him on TV.	60	he	Chef Michaels	Mike,Chef Michaels
The security patrol searched the land for survivors, but they were not interested in saving them.	57	they	The security patrol	The security patrol,survivors
The security patrol searched the land for survivors because they might still be alive.	60	they	survivors	The security patrol,survivors
The civilians had to flee the encampment from the thugs because they feared for their lives.	64	they	The civilians	The civilians,the thugs
The civilians had to flee the encampment from the thugs since they were terrorizing and attacking everyone they saw.	62	they	the thugs	The civilians,the thugs
The heavy weapons team bombarded the settlement with their mortars since they needed to soften up the enemy before moving in.	73	they	The heavy weapons team	The heavy weapons team,the settlement
The heavy weapons team bombarded the settlement with their mortars even though they were unarmed.	79	they	the settlement	The heavy weapons team,the settlement
The starships transported the colonists to their new planet since they will be creating a new settlement.	66	they	the colonists	The starships,the colonists
The starships transported the colonists to their new planet, but they still need to transport several more waves of people.	65	they	The starships	The starships,the colonists
Kathy looked after the children of Mrs. Faith since she wanted to have a night out at town.	52	she	Mrs. Faith	Kathy,Mrs. Faith
Kathy looked after the children of Mrs. Faith because she is quite capable as a baby sitter.	54	she	Kathy	Kathy,Mrs. Faith
Cartman finally decided to get rid of his stuffed animal, Clyde Frog, because he was told by his friends to grow up.	78	he	Cartman	Cartman,Clyde Frog
Cartman finally decided to get rid of his stuffed animal, Clyde Frog, so he was donated to charity.	73	he	Clyde Frog	Cartman,Clyde Frog
Martial Arts actors are often accused as being frauds by the public since they think they can only fight in fake scenarios.	74	they	the public	Martial Arts actors,the public
Martial Arts actors are often accused as being frauds by the public since they can only fight in fake scenarios.	74	they	Martial Arts actors	Martial Arts actors,the public
Liu Kang threw the bags of Johnny Cage into the water because he was annoyed that he thought he was a baggage boy.	62	he	Liu Kang	Liu Kang,Johnny Cage
Liu Kang threw the bags of Johnny Cage into the water since he mistakenly asked him to carry his bags.	60	he	Johnny Cage	Liu Kang,Johnny Cage
To save the world, Liu Kang must defeat Shang Hai in mortal combat, since he would be able to invade the world if he is not defeated.	74	he	Shang Hai	Liu Kang,Shang Hai
To save the world, Liu Kang must defeat Shang Hai in mortal combat, but if he fails, then the world as he knows it will fall.	75	he	Liu Kang	Liu Kang,Shang Hai
Prince Goro lectured Cano about the greatness of the emperor, because he was ignorant on realizing how powerful he really was.	70	he	Cano	Prince Goro,Cano
Prince Goro lectured Cano about the greatness of the emperor since he wanted to make him understand his power.	67	he	Prince Goro	Prince Goro,Cano
Johnny Cage had to trick Scorpion into stretching himself out too thin since he could not win without fighting smart.	77	he	Johnny Cage	Johnny Cage,Scorpion
Johnny Cage had to trick Scorpion into stretching himself out too thin since he had abilities which gave him the advantage.	77	he	Scorpion	Johnny Cage,Scorpion
Liu Kang used the element of water against Sub Zero since he was able to turn it into ice as a weapon.	58	he	Liu Kang	Liu Kang,Sub Zero
Liu Kang used the element of water against Sub Zero because he is weak against such elements.	60	he	Sub Zero	Liu Kang,Sub Zero
American Airlines offers upgrades for their preferred passengers since they want them to continue flying with them.	71	they	American Airlines	American Airlines,their preferred passengers
American Airlines offers upgrades for their preferred passengers so they continue choosing their airlines over others.	68	they	their preferred passengers	American Airlines,their preferred passengers
Chase Sapphire has a 24 hour service line for card holders since they chose the card for everyday available support when traveling.	65	they	card holders	Chase Sapphire,card holders
Chase Sapphire has a 24 hour service line for card holders so they would be available to help if their customer encounters trouble.	62	they	Chase Sapphire	Chase Sapphire,card holders
Chase Freedom provides quarterly bonuses as incentives for accounts, since they want them to use their card.	75	they	Chase Freedom	Chase Freedom,accounts
Chase Freedom provides quarterly bonuses as incentives for accounts but they do not always consider the incentive as much value.	72	they	accounts	Chase Freedom,accounts
AOL finally had their CEO step down to respect the wishes of the stakeholders since they have votes to decide the direction of the company.	84	they	the stakeholders	AOL,the stakeholders
AOL finally had their CEO step down to respect the wishes of the stakeholders because they needed to listen to their investors.	86	they	AOL	AOL,the stakeholders
The collections agency often goes after delinquent accounts, but they sometimes make mistakes.	65	they	The collections agency	The collections agency,delinquent accounts
The collections agency often goes after delinquent accounts since they try and get the money owed if a person did not pay for several months.	66	they	delinquent accounts	The collections agency,delinquent accounts
Yamato Hisaki returned as the Grand Champion to face new challenger, Yoshi Osaka, but he risks losing his champion title.	86	he	Yamato Hisaki	Yamato Hisaki,Yoshi Osaka
Yamato Hisaki returned as the Grand Champion to face new challenger, Yoshi Osaka, and despite being new, he hopes to win his title.	105	he	Yoshi Osaka	Yamato Hisaki,Yoshi Osaka
The judges monitor the performance of the competitors to measure their abilities, but they do not decide if they move on to the next round.	86	they	The judges	The judges,the competitors
The judges monitor the performances of the competitors to measure their abilities, so they need to be able to impress them with their skills.	86	they	the competitors	The judges,the competitors
Jessica did not like Selma cutting her hair short, but she ended up loving her new style.	55	she	Jessica	Jessica,Selma
Jessica did not like Selma cutting her hair short, so she tried to be conservative in the length she cut it.	54	she	Selma	Jessica,Selma
Customer Support fields the questions of their customers so they could provide immediate assistance.	60	they	Customer Support	Customer Support,their customers
Customer Support fields the questions of their customers so they could receive immediate assistance.	60	they	their customers	Customer Support,their customers
Kyle purchased three new monitors due to a recommendation by his brother, because he wanted to increase his productivity.	82	he	Kyle	Kyle,his brother
Kyle purchased three new monitors due to a recommendation by his brother, because he provided information on how his productivity increased with more working space.	82	he	his brother	Kyle,his brother
Coach Jay provided instruction to his son on how to eat healthy, because he wants him to grow up being fit and strong.	73	he	Coach Jay	Coach Jay,his son
Coach Jay provided instruction to his son on how to eat healthy so that he can live longer.	72	he	his son	Coach Jay,his son
The Starbuck employees make all the drinks on the spot for morning customers so they get their drinks nice and hot.	80	they	morning customers	The Starbuck employees,morning customers
The Starbuck employees make all the drinks on the spot for morning customers because they want them to return to purchase more of their products.	85	they	The Starbuck employees	The Starbuck employees,morning customers
Kenmore is known for making superb appliances which is sold at Sears, because they are the best place to sell top brand appliances.	78	they	Sears	Kenmore,Sears
Kenmore is known for making superb appliances which is sold at Sears since they constantly leave customers happy with their high quality brand.	75	they	Kenmore	Kenmore,Sears
HP sold a new LED monitor for a heavily discounted price to consumers, so they could create a stronger foot hold in the computer sector.	74	they	HP	HP,consumers
HP sold a new LED monitor for a heavily discounted price to consumers, so they ended up buying mass amounts of monitors.	74	they	consumers	HP,consumers
Angelina Jolie played the role of the mother of Grendell, since she looked the best for the role.	64	she	Angelina Jolie	Angelina Jolie,the mother of Grendell
Angelina Jolie played the role of the mother of Grendell, but she is a fictional character which would have to be created using CGI.	62	she	the mother of Grendell	Angelina Jolie,the mother of Grendell
Beowulf was granted a magical artifact by King Henry that emitted a light so he would be able to see in the dark caves.	77	he	Beowulf	Beowulf,King Henry
Beowulf was granted a magical artifact by King Henry that emitted a light since he wanted him to be able to find effectively in the dark.	80	he	King Henry	Beowulf,King Henry
Bethesda launched a new title, Skyrim, to raving reviews by gamers because they produced an excellent story to immense the player.	75	they	Bethesda	Bethesda,gamers
Bethesda launched a new title, Skyrim, to raving reviews by gamers so they will now most likely buy their next title as well.	70	they	gamers	Bethesda,gamers
Beowulf was granted the crown to succeed King Henry since he was the best man for the job due to a lack of a rightful heir.	58	he	Beowulf	Beowulf,King Henry
Beowulf was granted the crown to succeed King Henry because he did not have a son to secede him instead.	60	he	King Henry	Beowulf,King Henry
The invaders showed no mercy to the defenders because they are a vicious and unforgiving people.	54	they	The invaders	The invaders,the defenders
The invaders showed no mercy to the defenders, but they would not surrender anyway.	51	they	the defenders	The invaders,the defenders
Verizon Fios provides hundreds of channels to millions of viewers, because they want them to have a plethora of options to choose from.	75	they	Verizon Fios	Verizon Fios,millions of viewers
Verizon Fios provides hundreds of channels to millions of viewers, but they sometimes want even more than what is available.	71	they	millions of viewers	Verizon Fios,millions of viewers
Walmart is promoting their Black Friday sale heavily in commercials, since they are the best medium to get information out to the average consumer.	75	they	commercials	Walmart,commercials
Walmart is promoting their Black Friday sale heavily in commercials because they want to start off the Christmas season successfully in sales.	76	they	Walmart	Walmart,commercials
Marriott rewards frequent travelers with points for free stays so they can influence their decision on where they would like to stay.	66	they	Marriott	Marriott,frequent travelers
Marriott rewards frequent travelers with points for free stays, but they are also enticed by other reward programs from other hotels.	68	they	frequent travelers	Marriott,frequent travelers
Insurance companies charge a premium if people had an accident before because they will have to pay out more most likely for that person.	78	they	Insurance companies	Insurance companies,people
Insurance companies charge a premium if people had an accident before, so they try to maintain a clean record in order to avoid having to pay more.	74	they	people	Insurance companies,people
The NBA will most likely have a lockout this year due to players rejecting their latest compromise, because they wanted better terms to be presented to them.	108	they	players	The NBA,players
The NBA will most likely have a lockout this year due to players rejecting their latest compromise, but they refuse to write up a new compromise with them.	104	they	The NBA	The NBA,players
The Drill Sergeants trained the troops aggressively so they could prepare them for the impending war.	55	they	The Drill Sergeants	The Drill Sergeants,the troops
The Drill Sergeants trained the troops aggressively because they need to be trained well to survive in war.	60	they	the troops	The Drill Sergeants,the troops
A series of injections are used to battle a type of cancer in patients, but they do not always provide a hundred percent success rate.	76	they	A series of injections	A series of injections,patients
A series of injections are used to battle a type of cancer in patients because they have a special type of drug which counteracts this sickness.	79	they	patients	A series of injections,patients
Stark Industries produces the best technology for the military because they have a number of brilliant scientists.	71	they	Stark Industries	Stark Industries,the military
Stark Industries produces the best technology for the military, but they pay top dollar to equip their forces with this.	68	they	the military	Stark Industries,the military
Doctor Igor was interrogated by Colonel Marshall because he had vital information on the location of enemy forces.	57	he	Doctor Igor	Doctor Igor,Colonel Marshall
Doctor Igor was interrogated by Colonel Marshall, although he did not have good interrogation skills.	59	he	Colonel Marshall	Doctor Igor,Colonel Marshall
New York City was grateful for the sacrifices the American Armed Forces did to save their city because they managed to divert a devastating attack.	103	they	the American Armed Forces	New York City,the American Armed Forces
New York City was grateful for the sacrifices the American Armed Forces did to save their city since they are able to enjoy another day due to their heroics.	101	they	New York City	New York City,the American Armed Forces
Cartman wanted Kenny to go to the same school as him because he enjoyed his company.	61	he	Cartman	Cartman,Kenny
Cartman wanted Kenny to go to the same school as him, but he refused.	58	he	Kenny	Cartman,Kenny
The Autobots fight with every ounce of strength against the Decepticons since they wish to keep the planet safe.	78	they	The Autobots	The Autobots,the Decepticons
The Autobots fight with every ounce of strength against the Decepticons, but they fight back just as hard.	77	they	the Decepticons	The Autobots,the Decepticons
Bumblebee was sent home with Sam Witwicky to protect him since he needed to be protected from the Decepticons.	63	he	Bumblebee	Bumblebee,Sam Witwicky
Bumblebee was sent home with Sam Witwicky to protect him so he is on watch 7 days a week.	60	he	Sam Witwicky	Bumblebee,Sam Witwicky
President Obama rewarded Sam with a medal for his valorous acts because he saved the world at least twice.	72	he	Sam	President Obama,Sam
President Obama rewarded Sam with a medal for his valorous acts since he wanted the world to know his contribution to the world.	70	he	President Obama	President Obama,Sam
NASA helped the Autobots to exile from the planet since they had a transport that could take them off the planet.	56	they	NASA	NASA,the Autobots
NASA helped the Autobots to exile from the planet after they were told to leave.	56	they	the Autobots	NASA,the Autobots
Tech Analysts have speculated that Amazon will be releasing a phone next year since they have made a contract with vendors for phone parts.	84	they	Amazon	Tech Analysts,Amazon
Tech Analysts have speculated that Amazon will be releasing a phone next year, but they are only speculating at this point.	83	they	Tech Analysts	Tech Analysts,Amazon
Apple recently had to recall 1st generation IPods because they had a defect in their batteries.	58	they	1st generation IPods	Apple,1st generation IPods
Apple recently had to recall 1st generation IPods, but they did so six years after it was initially released.	55	they	Apple	Apple,1st generation IPods
The army organized their forces to sneak past the Decepticons in the city because they needed to use stealth to their advantage.	82	they	The army	The army,the Decepticons
The army organized their forces to sneak past the Decepticons in the city since they have the upper hand in a straight fight.	80	they	the Decepticons	The army,the Decepticons
Seagate recently announced to their investors that production will not go back to normal until the end of 2012 because they had their factories flooded last month.	119	they	Seagate	Seagate,their investors
Seagate recently announced to their investors that production will not go back to normal until the end of 2012, so they may end up selling their stock.	115	they	their investors	Seagate,their investors
Skype has entered a partnership with Facebook, and they hope that this can help to promote their video calling.	51	they	Skype	Skype,Facebook
Skype has entered a partnership with Facebook, and they hope that more members join their social network.	51	they	Facebook	Skype,Facebook
Bioware recently announced a stress test to beta users this weekend since they need to see the performance of their servers.	74	they	Bioware	Bioware,beta users
Bioware recently announced a stress test to beta users this weekend so they are eagerly awaiting to play the much anticipated game.	71	they	beta users	Bioware,beta users
U.S. Authors are fighting against Amazon's book lending program since they feel it violated their publishing rights.	70	they	U.S. Authors	U.S. Authors,Amazon's book lending program
U.S. Authors are fighting against Amazon's book lending program because they allow users a free book every month.	72	they	Amazon's book lending program	U.S. Authors,Amazon's book lending program
Chrome is finally set to pull ahead of Firefox in November because they have increased their popularity with internet users.	67	they	Chrome	Chrome,Firefox
Chrome is finally set to pull ahead of Firefox in November so they are trying hard to prevent their users from switching.	62	they	Firefox	Chrome,Firefox
The celebrities who agreed to go to the Marine Corp dance with their dates stayed true to their word, because they felt that this was the least they could do to thank the troops.	110	they	The celebrities	The celebrities,their dates
The celebrities who agreed to go to the Marine Corp dance with their dates stayed true to their word, so they were extremely thankful that they took time out of their schedule to come.	105	they	their dates	The celebrities,their dates
The US Health inspection board shut down several food factories since they were violating many rules and regulations.	70	they	several food factories	The US Health inspection board,several food factories
The US Health inspection board shut down several food factories, but they discovered that many rules and regulations were violated.	69	they	The US Health inspection board	The US Health inspection board,several food factories
Amazon offers a generous credit program for college books since they can be resold again to other buyers.	64	they	college books	Amazon,college books
Amazon offers a generous credit program for college books because they want students to come back and use their credit for more purchases.	66	they	Amazon	Amazon,college books
Tiger Woods dropped Randy as his caddy because he was not satisfied with his work.	47	he	Tiger Woods	Tiger Woods,Randy
Tiger Woods dropped Randy as his caddy, but he does not agree with his decision.	44	he	Randy	Tiger Woods,Randy
The Dallas Cowboys lost their lead to the Redskins because they started to perform very poorly in the second half.	59	they	The Dallas Cowboys	The Dallas Cowboys,the Redskins
The Dallas Cowboys lost their lead to the Redskins because they started to perform very well in the second half.	59	they	the Redskins	The Dallas Cowboys,the Redskins
The Disney characters at Disney World entertain the audience because they are there to keep people happy.	69	they	The Disney characters	The Disney characters,the audience
The Disney characters at Disney World entertain the audience since they are paying good money to having an enjoyable experience.	67	they	the audience	The Disney characters,the audience
The Apes were determined to be contaminated by disease specialists, but they refused to admit their fault.	72	they	disease specialists	The Apes,disease specialists
The Apes were determined to be contaminated by disease specialists, so they were forced to be released in secured captivity.	71	they	The Apes	The Apes,disease specialists
Lorenze took his son to the hospital because he fell off his bike and hurt his leg.	45	he	his son	Lorenze,his son
Lorenze took his son to the hospital since he was concerned for his health.	43	he	Lorenze	Lorenze,his son
Sheila made chicken noodle soup for her daughter since she knew it would help her get over her cold.	55	she	Sheila	Sheila,her daughter
Sheila made chicken noodle soup for her daughter, but she wanted cereal instead.	54	she	her daughter	Sheila,her daughter
Animal Control takes control of lost animals in the city so they will not pose any threats to the pedestrians.	60	they	lost animals	Animal Control,lost animals
Animal Control takes control of lost animals in the city because they are hired by the city to perform these duties.	65	they	Animal Control	Animal Control,lost animals
Walmart is enforcing strict guidelines for customers this Black Friday because they do not want a recap of the disaster that occurred the previous year.	79	they	Walmart	Walmart,customers
Walmart is enforcing strict guidelines for customers this Black Friday, but they may not always follow them even if they are enforced.	76	they	customers	Walmart,customers
The zookeepers make sure to feed the chimps on a daily schedule so they can remain healthy and content.	67	they	the chimps	The zookeepers,the chimps
The zookeepers make sure to feed the chimps on a daily schedule because they are required to do so under animal cruelty regulations.	72	they	The zookeepers	The zookeepers,the chimps
Chase will have a cyber monday sale for credit users since they want to entice users to continue using their cards.	59	they	Chase	Chase,credit users
Chase will have a cyber monday sale for credit users, but they may not necessarily care about the sale.	58	they	credit users	Chase,credit users
Caesar the ape found out the door code by watching Morris, so he was able to escape.	62	he	Caesar the ape	Caesar the ape,Morris
Caesar the ape found out the door code by watching Morris, because he was careless when typing in the code.	67	he	Morris	Caesar the ape,Morris
The security forces were not able to stop the mass of apes because they simply had them outnumbered.	67	they	the mass of apes	The security forces,the mass of apes
The security forces were not able to stop the mass of apes since they did not have the manpower to stop that many.	65	they	The security forces	The security forces,the mass of apes
The police tried to blockade the bridge to prevent the criminals from escaping, but they needed additional backup to be successful.	84	they	The police	The police,the criminals
The police tried to blockade the bridge to prevent the criminals from escaping because they needed to pass this route to gain freedom.	87	they	the criminals	The police,the criminals
Master Sifu passes wisdom on to Jack because he has much to teach him.	45	he	Master Sifu	Master Sifu,Jack
Master Sifu passes wisdom on to Jack so he listens very intently to what he has to say.	40	he	Jack	Master Sifu,Jack
The Chinese Empire banished the Wu Shu family from the kingdom because they committed atrocities that could not allow.	71	they	the Wu Shu family	The Chinese Empire,the Wu Shu family
The Chinese Empire banished the Wu Shu family from the kingdom since they tried to avoid conflict.	69	they	The Chinese Empire	The Chinese Empire,the Wu Shu family
Deal sites that monitor stores will be active during Thanksgiving weekend because they will be offering huge discount during this shopping weekend.	82	they	stores	Deal sites,stores
Deal sites that monitor stores will be active during Thanksgiving weekend, but they do not necessarily guarantee you will get it first.	79	they	Deal sites	Deal sites,stores
The Magnificent Five will battle it out with Shen Yu's forces because they will need to end his rein of terror.	70	they	The Magnificent Five	The Magnificent Five,Shen Yu's forces
The Magnificent Five will battle it out with Shen Yu's forces, but they may try and run away.	67	they	Shen Yu's forces	The Magnificent Five,Shen Yu's forces
Herman Cain has fallen in the polls while Mitt Romney has increased his foothold because he is garnering more popularity among potential voters.	89	he	Mitt Romney	Herman Cain,Mitt Romney
Herman Cain has fallen in the polls while Mitt Romney has increased his foothold, but he may have a comeback in the polls after the next debate.	86	he	Herman Cain	Herman Cain,Mitt Romney
Jackie Chan is starting to become like Chuck Norris, because he is getting close to the age that he retired in his career.	61	he	Jackie Chan	Jackie Chan,Chuck Norris
Jackie Chan is starting to become like Chuck Norris since he retired at the age he has now reached.	58	he	Chuck Norris	Jackie Chan,Chuck Norris
Some people proclaimed at the Ontario conventions that we need to colonize planets in the near future because they think we may face extinction if Aliens ever came for our resources.	110	they	Some people	Some people,the Ontario conventions
Some people proclaimed at the Ontario conventions that we need to colonize planets in the near future since they are places where people can voice these kinds of concerns among like minded people.	108	they	the Ontario conventions	Some people,the Ontario conventions
Retail stores have been trying to pass an internet tax on online retailers for the past few years because they feel it would level the playing field.	106	they	Retail stores	Retail stores,online retailers
